sample,image_ms,web_ms,generation_ms,total_ms,answer_tokens,image_evidence,web_evidence
1,858.037,175.154,2757.398,3152.792,17,10,3
2,124.165,45.149,2757.398,3152.792,28,10,2
3,96.187,37.856,2757.398,3152.792,58,10,1
4,185.859,42.571,2757.398,3152.792,31,10,3
5,135.365,49.959,896.841,1040.34,18,10,3
6,83.709,63.51,896.841,1040.34,47,10,2
7,81.183,40.287,896.841,1040.34,23,10,3
8,70.316,34.794,896.841,1040.34,56,10,3
9,74.844,32.808,1106.279,1243.615,19,0,2
10,119.165,45.874,1106.279,1243.615,25,10,2
11,87.312,41.715,1106.279,1243.615,47,10,3
12,81.804,34.952,1106.279,1243.615,22,10,3
13,91.031,40.255,999.617,1124.029,76,10,2
14,73.998,48.651,999.617,1124.029,22,10,3
15,85.095,32.778,999.617,1124.029,18,10,3
16,73.292,39.125,999.617,1124.029,76,10,2
17,111.582,43.712,1562.187,1709.142,58,10,3
18,64.982,46.975,1562.187,1709.142,64,10,3
19,82.98,48.588,1562.187,1709.142,76,10,3
20,106.413,63.394,1562.187,1709.142,30,10,3
21,100.8,45.108,1460.132,1608.325,76,10,1
22,95.398,41.958,1460.132,1608.325,30,10,3
23,113.582,44.358,1460.132,1608.325,23,10,2
24,93.263,43.793,1460.132,1608.325,76,10,1
25,85.785,48.952,1501.07,1634.823,16,10,2
26,95.455,37.751,1501.07,1634.823,13,10,3
27,80.869,43.523,1501.07,1634.823,76,10,2
28,87.2,42.612,1501.07,1634.823,12,10,3
29,103.966,50.54,1499.411,1650.94,34,10,2
30,92.567,49.645,1499.411,1650.94,24,10,3
