scope,version,metric,observed_delta,ci_low,ci_high,bootstrap_samples,seed
primary_20,a1,accuracy,0.0,0.0,0.0,10000,20260716
primary_20,a1,missing,0.05,0.0,0.15,10000,20260716
primary_20,a1,hallucination,-0.04999999999999993,-0.15000000000000002,0.0,10000,20260716
primary_20,a1,truthfulness,0.050000000000000044,0.0,0.15000000000000002,10000,20260716
primary_20,a2,accuracy,0.0,0.0,0.0,10000,20260716
primary_20,a2,missing,0.05,0.0,0.15,10000,20260716
primary_20,a2,hallucination,-0.04999999999999993,-0.15000000000000002,0.0,10000,20260716
primary_20,a2,truthfulness,0.050000000000000044,0.0,0.15000000000000002,10000,20260716
primary_20,a3,accuracy,-0.04999999999999999,-0.15000000000000002,0.0,10000,20260716
primary_20,a3,missing,0.2,0.05,0.4,10000,20260716
primary_20,a3,hallucination,-0.1499999999999999,-0.30000000000000004,0.0,10000,20260716
primary_20,a3,truthfulness,0.09999999999999998,-0.09999999999999998,0.29999999999999993,10000,20260716
primary_20,full,accuracy,-0.04999999999999999,-0.15000000000000002,0.0,10000,20260716
primary_20,full,missing,0.2,0.05,0.4,10000,20260716
primary_20,full,hallucination,-0.1499999999999999,-0.30000000000000004,0.0,10000,20260716
primary_20,full,truthfulness,0.09999999999999998,-0.09999999999999998,0.29999999999999993,10000,20260716
